Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025-07-24,14:44:31,227.0,220.0,272.2,59.9,59.9,28,23.0,UPS_10F
2025-07-24,13:44:24,226.0,220.0,272.2,60.0,60.0,28,22.0,UPS_10F
2025-07-24,12:44:16,226.5,220.0,272.2,59.9,59.9,28,23.0,UPS_10F
2025-07-24,11:44:09,224.5,220.5,272.5,59.9,59.9,28,26.0,UPS_10F
2025-07-24,10:44:02,226.0,220.0,272.5,59.9,59.9,29,26.0,UPS_10F
2025-07-24,09:43:54,226.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-07-24,08:43:46,227.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-07-24,07:43:39,228.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-07-24,06:43:32,226.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-07-24,05:43:24,227.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-07-24,04:43:17,227.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-07-24,03:43:10,227.0,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-07-24,02:43:02,227.0,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-07-24,01:42:55,225.5,220.0,272.5,59.9,59.9,28,26.0,UPS_10F
2025-07-24,00:42:47,224.5,220.0,272.2,60.0,60.0,28,22.0,UPS_10F
