Date,Time,Vin,Vout,Vbat,Fin,Fout,Load,Temp,UPS_Name
2025-08-01,23:09:29,226.5,220.0,272.2,60.0,60.0,30,20.0,UPS_10F
2025-08-01,22:09:22,228.0,220.0,272.2,60.0,60.0,30,23.0,UPS_10F
2025-08-01,21:09:14,229.0,220.5,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-01,20:09:06,228.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-01,19:08:58,227.0,220.0,272.2,60.0,60.0,30,23.0,UPS_10F
2025-08-01,18:08:50,227.5,220.5,272.2,59.9,59.9,29,20.0,UPS_10F
2025-08-01,17:08:43,226.5,220.5,272.2,60.0,60.0,29,23.0,UPS_10F
2025-08-01,16:08:35,228.0,220.0,272.2,60.0,60.0,30,16.0,UPS_10F
2025-08-01,15:08:27,226.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-01,14:08:20,224.5,220.0,272.2,60.0,60.0,30,23.0,UPS_10F
2025-08-01,13:08:12,223.5,220.0,272.2,59.9,59.9,29,21.0,UPS_10F
2025-08-01,12:08:04,224.5,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-08-01,11:07:57,223.5,220.0,272.5,59.9,59.9,30,27.0,UPS_10F
2025-08-01,10:07:49,225.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-08-01,09:07:42,226.0,220.0,272.5,60.0,60.0,30,27.0,UPS_10F
2025-08-01,08:07:34,226.5,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-08-01,07:07:26,225.0,220.0,272.5,60.0,60.0,28,26.0,UPS_10F
2025-08-01,06:07:19,225.0,220.0,272.5,60.0,60.0,28,25.0,UPS_10F
2025-08-01,05:07:12,226.5,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025-08-01,04:07:04,227.5,220.0,272.5,60.0,60.0,27,27.0,UPS_10F
2025-08-01,03:06:57,226.5,220.0,272.5,59.9,59.9,28,25.0,UPS_10F
2025-08-01,02:06:50,225.5,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-08-01,01:06:43,225.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025-08-01,00:06:36,225.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025-08-02,23:12:25,225.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-02,22:12:18,228.0,220.0,272.2,60.0,60.0,29,21.0,UPS_10F
2025-08-02,21:12:10,229.0,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-08-02,20:12:03,228.5,220.0,272.5,60.0,60.0,29,24.0,UPS_10F
2025-08-02,19:11:55,229.0,220.0,272.5,59.9,59.9,30,27.0,UPS_10F
2025-08-02,18:11:48,228.5,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-08-02,17:11:41,229.0,220.0,272.5,60.0,60.0,29,26.0,UPS_10F
2025-08-02,16:11:34,229.5,220.5,272.2,59.9,59.9,29,21.0,UPS_10F
2025-08-02,15:11:26,229.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-08-02,14:11:19,231.0,220.0,272.5,59.9,59.9,29,27.0,UPS_10F
2025-08-02,13:11:12,230.0,220.0,272.5,59.9,59.9,30,26.0,UPS_10F
2025-08-02,12:11:05,230.0,220.0,272.2,60.0,60.0,29,21.0,UPS_10F
2025-08-02,11:10:57,230.0,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-02,10:10:50,228.5,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-02,09:10:43,228.5,220.0,272.2,59.9,59.9,29,22.0,UPS_10F
2025-08-02,08:10:36,228.5,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-02,07:10:28,228.5,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-08-02,06:10:21,228.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-02,05:10:13,228.5,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-08-02,04:10:06,228.0,220.0,272.2,59.9,59.9,29,24.0,UPS_10F
2025-08-02,03:09:59,227.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-02,02:09:51,228.5,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-02,01:09:44,227.0,220.0,272.2,59.9,59.9,29,21.0,UPS_10F
2025-08-02,00:09:36,227.0,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-03,23:15:23,226.0,220.0,272.2,59.9,59.9,29,21.0,UPS_10F
2025-08-03,22:15:16,228.0,220.0,272.2,59.9,59.9,29,22.0,UPS_10F
2025-08-03,21:15:08,228.0,220.0,272.2,60.0,60.0,28,23.0,UPS_10F
2025-08-03,20:15:01,227.5,220.0,272.2,59.9,59.9,29,20.0,UPS_10F
2025-08-03,19:14:53,228.0,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-08-03,18:14:46,228.5,220.0,272.2,60.0,60.0,29,24.0,UPS_10F
2025-08-03,17:14:39,229.0,220.0,272.2,59.9,59.9,27,22.0,UPS_10F
2025-08-03,16:14:31,228.0,220.0,272.2,60.0,60.0,28,23.0,UPS_10F
2025-08-03,15:14:24,227.5,220.0,272.2,59.9,59.9,29,23.0,UPS_10F
2025-08-03,14:14:16,227.5,220.0,272.2,60.0,60.0,29,22.0,UPS_10F
2025-08-03,13:14:09,225.0,220.0,272.2,60.0,60.0,29,23.0,UPS_10F
2025-08-03,12:14:02,226.0,220.0,272.5,60.0,60.0,28,25.0,UPS_10F
2025-08-03,11:13:55,227.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-08-03,10:13:47,228.5,220.0,272.5,60.0,60.0,28,27.0,UPS_10F
2025-08-03,09:13:40,228.0,220.0,272.5,59.9,59.9,28,27.0,UPS_10F
2025-08-03,08:13:32,227.5,220.0,272.5,60.0,60.0,29,27.0,UPS_10F
2025-08-03,07:13:25,227.0,220.0,272.5,60.0,60.0,28,28.0,UPS_10F
2025-08-03,06:13:16,227.5,220.0,272.5,60.0,60.0,27,28.0,UPS_10F
